id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,Give me a masala chai recipe
5,Show me a good gluten-free dessert recipe?
6,How can i make banh mi at home?
7,What can i make with a bunch of grapefruit, lime, and ginger?
8,What are some healthy meals i can prepare in under 30 minutes?
9,Suggest some beginner-friendly vegetarian recipes
10,Suggest a Guatemalan meal that can feed a large group
11,Suggest an asian noodle dish
12,Suggest a noodle dish
13,Suggest a dish from Myanmar that isn't too spicy
14,Suggest an old-fashioned Mexican dish
15,Give me a hearty Ukrainian dish
